"year","zone","group","destination","measure","value"
"2010-2011","S01001810","All","All","Count",12
"2008-2009","S01001810","All","All","Count",8
"2008-2009","S01001810","All","Positive","Ratio","87.5"
"2009-2010","S01001810","All","Positive","Ratio",100
"2010-2011","S01001810","All","Positive","Ratio",100
"2007-2008","S01001810","All","Positive","Ratio",100
"2011-2012","S01001810","All","Positive","Ratio","77.8"
"2012-2013","S01001810","All","Positive","Ratio",100
"2010-2011","S01001810","All","Other Known","Ratio",0
"2008-2009","S01001810","All","Other Known","Ratio","12.5"
"2009-2010","S01001810","All","Other Known","Ratio",0
"2011-2012","S01001810","All","Other Known","Ratio","22.2"
"2012-2013","S01001810","All","Other Known","Ratio",0
"2007-2008","S01001810","All","Other Known","Ratio",0
"2012-2013","S01001811","All","All","Count",6
"2009-2010","S01001811","All","All","Count",7
"2007-2008","S01001811","All","All","Count",7
"2011-2012","S01001811","All","All","Count",3
"2010-2011","S01001811","All","All","Count",4
"2008-2009","S01001811","All","All","Count",5
"2008-2009","S01001811","All","Positive","Ratio",80
"2009-2010","S01001811","All","Positive","Ratio",100
"2010-2011","S01001811","All","Positive","Ratio",75
"2007-2008","S01001811","All","Positive","Ratio","85.7"
"2011-2012","S01001811","All","Positive","Ratio",100
"2012-2013","S01001811","All","Positive","Ratio",100
"2010-2011","S01001811","All","Other Known","Ratio",25
"2008-2009","S01001811","All","Other Known","Ratio",20
"2009-2010","S01001811","All","Other Known","Ratio",0
"2011-2012","S01001811","All","Other Known","Ratio",0
"2012-2013","S01001811","All","Other Known","Ratio",0
"2007-2008","S01001811","All","Other Known","Ratio","14.3"
"2012-2013","S01001812","All","All","Count",8
"2009-2010","S01001812","All","All","Count",5
"2007-2008","S01001812","All","All","Count",6
"2011-2012","S01001812","All","All","Count",8
"2010-2011","S01001812","All","All","Count",8
"2008-2009","S01001812","All","All","Count",5
"2008-2009","S01001812","All","Positive","Ratio",100
"2009-2010","S01001812","All","Positive","Ratio",100
"2010-2011","S01001812","All","Positive","Ratio",100
"2007-2008","S01001812","All","Positive","Ratio",100
"2011-2012","S01001812","All","Positive","Ratio","87.5"
"2012-2013","S01001812","All","Positive","Ratio",100
"2010-2011","S01001812","All","Other Known","Ratio",0
"2008-2009","S01001812","All","Other Known","Ratio",0
"2009-2010","S01001812","All","Other Known","Ratio",0
"2011-2012","S01001812","All","Other Known","Ratio","12.5"
"2012-2013","S01001812","All","Other Known","Ratio",0
"2007-2008","S01001812","All","Other Known","Ratio",0
"2012-2013","S01001813","All","All","Count",9
"2009-2010","S01001813","All","All","Count",8
"2007-2008","S01001813","All","All","Count",11
"2011-2012","S01001813","All","All","Count",6
"2010-2011","S01001813","All","All","Count",10
"2008-2009","S01001813","All","All","Count",12
"2008-2009","S01001813","All","Positive","Ratio",100
"2009-2010","S01001813","All","Positive","Ratio",100
"2010-2011","S01001813","All","Positive","Ratio",90
"2007-2008","S01001813","All","Positive","Ratio",100
"2011-2012","S01001813","All","Positive","Ratio",100
"2012-2013","S01001813","All","Positive","Ratio",100
"2010-2011","S01001813","All","Other Known","Ratio",10
"2008-2009","S01001813","All","Other Known","Ratio",0
"2009-2010","S01001813","All","Other Known","Ratio",0
"2011-2012","S01001813","All","Other Known","Ratio",0
"2012-2013","S01001813","All","Other Known","Ratio",0
"2007-2008","S01001813","All","Other Known","Ratio",0
"2012-2013","S01001814","All","All","Count",4
"2009-2010","S01001814","All","All","Count",7
"2007-2008","S01001814","All","All","Count",12
"2011-2012","S01001814","All","All","Count",8
"2010-2011","S01001814","All","All","Count",6
"2008-2009","S01001814","All","All","Count",6
"2008-2009","S01001814","All","Positive","Ratio",100
"2009-2010","S01001814","All","Positive","Ratio",100
"2010-2011","S01001814","All","Positive","Ratio",100
"2007-2008","S01001814","All","Positive","Ratio","91.7"
"2011-2012","S01001814","All","Positive","Ratio","87.5"
"2012-2013","S01001814","All","Positive","Ratio",100
"2010-2011","S01001814","All","Other Known","Ratio",0
"2008-2009","S01001814","All","Other Known","Ratio",0
"2009-2010","S01001814","All","Other Known","Ratio",0
"2011-2012","S01001814","All","Other Known","Ratio","12.5"
"2012-2013","S01001814","All","Other Known","Ratio",0
"2007-2008","S01001814","All","Other Known","Ratio","8.3"
"2012-2013","S01001815","All","All","Count",11
"2009-2010","S01001815","All","All","Count",3
"2007-2008","S01001815","All","All","Count",13
"2011-2012","S01001815","All","All","Count",10
"2010-2011","S01001815","All","All","Count",12
"2008-2009","S01001815","All","All","Count",9
"2008-2009","S01001815","All","Positive","Ratio","88.9"
"2009-2010","S01001815","All","Positive","Ratio",100
"2010-2011","S01001815","All","Positive","Ratio",100
"2007-2008","S01001815","All","Positive","Ratio",100
"2011-2012","S01001815","All","Positive","Ratio",100
"2012-2013","S01001815","All","Positive","Ratio","81.8"
"2010-2011","S01001815","All","Other Known","Ratio",0
"2008-2009","S01001815","All","Other Known","Ratio","11.1"
"2009-2010","S01001815","All","Other Known","Ratio",0
"2011-2012","S01001815","All","Other Known","Ratio",0
"2012-2013","S01001815","All","Other Known","Ratio","18.2"
"2007-2008","S01001815","All","Other Known","Ratio",0
"2012-2013","S01001816","All","All","Count",3
